ø¨ø˘,¡æ∏Ò∏Ì,¡æ∏Òƒ⁄µÂ,Ω√¿Âæ∆¿Ãµ,¡æ∞°,√÷∞Ì∞°(¡æ∞°),√÷¿˙∞°(¡æ∞°),«•¡ÿ∆Ì¬˜,√∑µµ,∞¯ø÷µµ,∫£≈∏,Amihud,Amivest,Zeros,∞≈∑°∑Æ_«’∞Ë,∞≈∑°∑Æ_¿œ∆Ú±’,∞≈∑°¥Î±›_«’∞Ë,∞≈∑°¥Î±›_¿œ∆Ú±’
"2020/09","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11000","11200","10750","0.766467","2.938538","0.223407","0.201196","0.000070878","1696146.0895","19.047619","22132488","1053928","242407341250","11543206726"
"2020/10","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11000","11200","10700","0.716515","-0.290671","0.228767","0.019914","0.000053527","1149742.7784","31.578947","19153930","1008102","209415566300","11021871911"
"2020/11","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","10800","11050","10800","0.424155","-1.109003","0.131361","0.018769","0.000052927","1042026.3324","28.571429","13675017","651191","149529637600","7120458933"
"2020/12","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","10650","11250","10650","1.019127","7.004065","0.126575","-0.213427","0.000030686","821508.234","57.142857","25556198","1216962","279996270650","13333155745"
"2021/01","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","10750","10850","10400","0.682995","2.272071","0.127332","-0.076765","0.000038993","1537358.502","30","24169437","1208472","255046555952","12752327798"
"2021/02","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11150","11250","10800","0.416178","1.732312","0.112298","0.021655","0.000033218","1285399.9425","33.333333","16403695","911316","180736071600","10040892867"
"2021/03","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11650","11700","11100","0.613512","1.811614","0.081465","0.156216","0.00004535","914680.5707","36.363636","19404107","882005","219887511550","9994886889"
"2021/04","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","12050","12350","11750","0.731404","-0.449323","0.082461","-0.161443","0.000043194","1100518.0348","27.272727","21426817","973946","256542875297","11661039786"
"2021/05","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","12500","12500","12000","0.604279","-0.85526","0.081357","-0.157416","0.000037712","1335861.7605","31.578947","19303125","1015954","233818871450","12306256392"
"2021/06","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","12550","12650","12450","0.527169","-0.188186","0.073257","0.40963","0.000029547","1953773.1442","22.727273","24984250","1135648","313932936900","14269678950"
"2021/07","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","12300","12500","12300","0.464289","-0.318512","0.096232","-0.077004","0.000037499","1012953.2066","36.363636","15128741","687670","187001478350","8500067198"
"2021/08","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","12400","12400","12200","0.338841","-0.123144","0.083159","0.046417","0.000026522","923379.4624","47.619048","15250901","726233","186935743600","8901702076"
"2021/09","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","12800","12800","12500","0.502986","-0.159784","0.076408","0.160166","0.000040302","931999.9212","36.842105","14608720","768880","183623822050","9664411687"
"2021/10","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","13700","13700","12950","0.854786","-0.487099","0.053504","-0.041167","0.000037328","1041631.4993","36.842105","21253495","1118605","280217322400","14748280126"
"2021/11","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","14000","14250","13500","0.589102","-0.520022","0.052536","0.31386","0.000039258","1242851.895","27.272727","19372719","880578","268812241350","12218738243"
"2021/12","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","14050","14250","13700","0.918071","3.994446","0.023522","0.045731","0.000037099","1757076.2796","22.727273","24757778","1125354","346573184650","15753326575"
"2022/01","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","13500","14100","13250","1.029744","6.871202","-0.066411","0.45401","0.000034552","1843812.971","20","22190457","1109523","303812656750","15190632838"
"2022/02","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","13700","13900","13600","0.673973","5.321114","-0.06303","0.343178","0.000041505","1369564.4922","22.222222","14040381","780021","193054281450","10725237858"
"2022/03","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","13700","13750","13500","0.283921","0.960559","-0.061939","0.062121","0.000010792","1338445.2376","57.142857","20803899","990662","282839395650","13468542650"
"2022/04","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","14200","14200","13800","0.491052","1.420155","-0.06212","0.16436","0.000020581","1474188.121","38.095238","24078796","1146609","334461539500","15926739976"
"2022/05","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","14200","14250","13850","0.478052","-0.268954","-0.044697","0.231235","0.000038084","1263776.925","23.809524","15173923","722568","212897308950","10137967093"
"2022/06","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","12500","14200","12500","1.804465","0.134554","-0.298685","0.818834","0.000056489","950238.1566","25","28895935","1444797","390431206000","19521560300"
"2022/07","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","13000","13000","11550","1.909393","2.035363","-0.329238","1.285122","0.00012113","970599.1823","4.761905","23359759","1112369","285179758300","13579988490"
"2022/08","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","12800","13200","12600","0.671104","0.512084","-0.324592","0.18097","0.000056023","869016.5774","27.272727","14931140","678688","191590919000","8708678136"
"2022/09","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11750","12700","11600","0.763641","0.680865","-0.428029","0.242928","0.000072408","522951.2808","40","13849583","692479","168131846000","8406592300"
"2022/10","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11050","11900","10450","1.725803","0.508263","-0.39142","0.433708","0.000146808","753792.9642","5.263158","17618045","927266","195565609100","10292926795"
"2022/11","∏∆ƒı∏Æ¿Œ«¡∂Û","088980","STK","11300","11500","10950","1.193187","2.334276","-0.393264","0.724694","0.000113845","720818.2804","13.636364","14145450","642975","157696944100","7168042914"
